Profession	Text
Head of preschool	"I will not leave a long story but just confirm that even us preschool managers, who
should be the ones who support, work with an impossible mission! Or we can make it work
right on the border! I think it is shameful that politicians do not understand the seriousness and give us
better conditions. I see staff tearing the hedge off! That hits the wall! Crying.
Then I also see joy. A damn embrace. Love for his profession! But having to discuss
whether you can afford to bake gingerbread cookies or not is the level the preschool's budget is at!
Wake up! I just want to say that for every staff that goes into the wall, there will be one
failure for us managers. And the next step is that we walk into the same wall! It is an evil
spiral! I know that you have to be loyal to your employer and that's who I am as I continue
fight for the preschool and do the best with the funds we have! But I agree with that
as long as we fight in the shadows, the truth will not come out. And it's not my bosses fault
but it is a system error in politics!"
Preschool teacher	"I am a fifty-year-old preschool teacher who has worked in childcare (preschool class, leisure
and preschool) for over thirty years. Dismantling began in the early 1990s. Then I worked
at afternoon home. We were three educators of 12 9-11 year olds. Lots of time was there too
preparation/planning, in the mornings when the children were at school.
A few years ago, I worked in a pre-school class and in 6-year free time. In our spare time we were one
regular teacher and two substitutes of approx. 50 six-year-olds. Several with special needs. So
the difference is miles wide in the change from the early 1990s to the present.
I have also worked in a preschool, with children aged 2-5 years in wards with just over 20 children
barely three educators. Nowhere in the last ten years has there been an opportunity to be able to
plan fully in their planning time (this has had to be done at home in the evenings and weekends), then have
you immediately had to drop in on departments where there is a lack of staff for the day.
This, together with my own sick children, has caused me to be on sick leave
exhaustion syndrome and stress for four long periods over a number of years. It's so sad. I
would like to be able to work with the children and do a good job, be safe and present. I
You never know when your body and soul will give up next time. My self-confidence at work has gained
solid thorns.
I want to be able to be a happy, proud and ambitious preschool teacher. Enough for all children. As
can work without getting sick. Make sure to visit the toilet during the day. Be able to take a full break and be able to
laugh, talk and joke with my colleagues sometimes."
Preschool teacher	"Help the staff - our children are suffering - http://www.aftonbladet.se/a/MyEaJ
Agree with Ida Thorén in everything she describes about the preschool's activities. There is a solution
and that is to abolish 15,30 and 40!!! hours of preschool for children on parental leave. Many
municipalities today offer an excellent opportunity for parental leave and
unemployed to socialize and build new relationships and that activity is called open preschool.
Our little citizens of society need committed parents who offer them a calmer
and safer upbringing but also help socialize their little ones by giving them
opportunity to do so through the open preschool. There the children get together with their parents
take part in a song collection, activities such as Easter crafts, etc. They also get under calmer
circumstances together with their parents practice building new relationships, with others
children and adults. It is time to face the truth and SEE what is happening to young children
who stay in large groups of children (up to 40 hours a week, even though mother or father is
at home?!) with perhaps one regular staff and 2 substitutes. These children are being let down by ours
politicians, their own parents and The Fantastic Preschool! The staff does everything they can,
with very little means. BUT they don't last long. Spoke yesterday with a recent graduate
(worked for 1.5 years) preschool teacher who now feels she made a wrong choice. All her visions have
graveled and despite the fact that she loves to be involved in the further development of a young person, so chooses
she now has to look around for another job. She says - It's terribly frustrating and
therefore very stressful to constantly work with temporary workers and despite his few years in the profession to be
the one the business leans towards! I can not take it! I have started to sleep badly and worry
constantly because what can happen, I'm not enough!!! So take your responsibility elected officials and
abolish 15, 30 and 40 hours of preschool for those who are unemployed and on parental leave. Ensure
the children who must be in the preschool's care receive the educational activities they deserve,
expand the open preschool and you will find that the children start to feel better, they become more
motivated to study when they start school. Added to that is another win. The staff
will stay, they will have more energy to further develop the preschool's activities, which in the end
will benefit our youngest citizens. Thanks for the word!"
Preschool teacher	"Working in a fantastic team in a house with good cooperation. In recent years it has
have been cutbacks and periodic stoppages of substitutes and purchasing stops. In 2017, it was big
savings and we took in more children in a group with many children in need of extra support in different
way. That was the final straw. More and more it was noticed that all energy had to be put into that handful
children who most clearly needed it. More crying, more conflict and some ""disappeared"". We made it through
it's thanks to us being so tightly knit but by the end of the day we were completely drained, which our
families could see. Sleep problems also appeared. Some of the children who occupied a lot of time
went on to pre-school class so we looked forward to autumn ""when it would be as usual"" again.
During the autumn, the downsizing continued along with the fact that it was not possible to get hold of
substitutes, something we have never encountered before. Then the good atmosphere in the house disappeared very quickly
unfortunately. But what's worse is that we now have to reap what we sowed, a divided group of children with incredible
great need for attention without group feeling where conflicts arise quickly and often. We
barely have time to talk to each other during the day but try to think about being professional
and give lots of praise for keeping your spirits up. The sleeping problems have escalated and I hope
just that none of us get hurt worse. It cuts my heart when I think of the children in this year's group
who suffer, those who don't act outwardly but need support in other ways, because we don't have time for that
work with. Deplorable."
Preschool teacher	"I have worked as a preschool teacher for 9 years. During the 9 years I have worked at 4 different preschools in
3 municipalities. I have had about 24 colleagues if you count those who worked in the department more
than 2 months. Of these, 9 have been preschool teachers, 7 have been childminders or trained to do so
something else related to the profession and 8 have been temporary colleagues without training.
At the longest, I have had the same colleagues for 1.5 years, but then one of the colleagues has been temporary
and uneducated. Six months is the longest time I have worked together with 2 educated colleagues who
were permanently employed.
I have many times felt stuck before a new semester and planned and felt that this
will be good. Unfortunately, the inadequacy, stress and lack of time have always made the feeling in
the end of the semester is always dejection and frustration. I have been like that on several occasions
broke over the situation that I didn't know how I would be able to continue working with this. I have
also took a break from the profession and trained for something else, but then it was difficult to get a job
within the new profession, I ended up back in the preschool, but then chose to work 75% for
be able to. I know that I actually enjoy the job if only the conditions to do one
good jobs had existed. Unfortunately, the desire and energy for work has run out in all the puzzle land and
one is not enough to do more than the bare essentials. Instead, I look at alternatives
ways to go. Because I know that it doesn't help to change workplaces within the same profession, as I have
good colleagues and a good workplace today and that the bad conditions that make me feel
bad are the same everywhere. If there is no change, I will not remain in the profession. I have really seen the difference in what it does for a group of children to be the same staff
over time. It is more important than education, but education allows you to get ahead and
longer with the quality work. But in terms of continuity and calm in the children's group, the most important thing is
continuity in the staff group. I feel that I will never advance in the profession because the whole thing
time personnel change. The reasons why I have had so many different colleagues have been many;
I myself have chosen to change jobs a few times due to a lack of regular and trained staff
and absent manager, then a colleague has moved and thus quit, someone has joined
pension, some have been on sick leave and some have chosen to change professions, among other things.
For every child that is added or taken away, there are many elements that increase. It's a child
to be helped at the breakfast table, another child to be changed a few times a year
day, one more child to dress at the exit and undress at the entrance, one more child to help at lunch
and snacks, one more child to plan for, etc. Equally, a child does less to all these
moment decreases with a child. Having more children with the same number of staff in the middle of the day
means that each child gets less time from each of us adults, just as each child less gives more time
to each individual child. It's not just a child more or less, it's a child more or
less in all aspects of the day. Being able to have fewer children in the children's groups has many benefits.
The children are seen more during the day, we educators can more easily feel a sense of calm because we have time
with each child and don't have to stress ourselves through the different parts of the day to manage to make it
with. There will be fewer children who will have to share the spaces the preschool consists of. The children are not exposed
for the same number of relationships and contagion does not spread as much if there are fewer children together
together. We manage to be out longer in the winter months as it doesn't have to take an hour
to get all the children dressed and get them out. There is a larger margin to be able to cope
absence of colleagues without having to bring in substitutes, which also reduces the number of temporary workers
relationships for the children. I also think that the profession would become more attractive to want to work in both
for preschool teachers and substitutes and more had managed to stay in the profession and not have to change or
be on sick leave."
Preschool teacher	"Substitute stoppage, committed educators who call in sick because they can't take it, educators
who cannot achieve either curriculum, school law or other regulations, a constant feeling that
not enough. The list can be made as long as desired... The bottom line is that this is unsustainable.
Educator after educator disappears from the business and the list of qualified staff is coming soon
non-existent. And when new staff are sought, there is not a single qualified staff member who applies.
Wonder why!"
Preschool teacher	"Finances and children's groups go hand in hand. Bad economy = larger groups of children. If
the economy could be stabilized, the children's groups could also be reduced!"
Preschool teacher	"I think my work as a preschool teacher is fantastically fun and developing! For eleven years
then, after working in large children's groups, my health gave way and I stopped working within
the preschool. Before that, I had time to work in a children's group for a few years with about 15
children which was great! Two years ago I started working as a preschool teacher again and found that there is a lack of trained people
staff, which meant working with temporary workers to an increasing degree. The managerial role at the preschool had
also changes as a lot of time went into recruiting staff. Many days are about getting
bring temporary workers into the work to achieve the best possible operation. In case of absence among
staff as the only regular staff meant many times; to be the staff that
contacts the warden if necessary, put in substitute orders, quickly come up with a plan for
the day together with staff from other departments because the substitute pool could not
offer a substitute for the day (usually with refusal in the case of substitutes). Many
times ensure that 9-14 children get breakfast and at the same time accommodate more arriving children, that
then ensure that the children are divided into playgroups while waiting for the next staff member. Remember that
cancel today's sick colleague's development interview with a child's parents and at the same time
cancel meetings and plans. Sometimes staff can come from another department and
back up until the next staff member arrives. Standing questions replace each other; without substitute,
identify what kind of help we need and inform other staff at the house throughout
day, who will work together with the colleague after 1:30 p.m. when I have to go home? How do we solve?
the breaks? Always think about safety! How can we create the best possible conditions for the children
who has just entered school and needs an adult's presence, and how does the child who is in need of
supportive and preventive resources to have their needs met? Many of the days of the year
time is spent devising the best possible priorities with a constant guilty conscience not to
attend to the children's needs to the extent that they should. Last fall I was all by myself with 16
kids for lunch!"
Preschool teacher	"A few years ago I worked at a resource preschool. To come to a group of about 12 children
meant being able to suffice! Getting to work with a group of fewer children meant for me not to
having to have a disturbed night's sleep, because the brain cannot let go of the day's impressions and constant thoughts
how to arrive at the best possible solutions when there is a lack of staff. In addition, how
the environment must be kept safe from accidents and that how I will cope with. Anxiety during certain periods,
what does tomorrow look like? Nowadays, as I said, I work in a large children's group and there is
days when the staff is on site and the children can be divided into groups and the play and learning processes
works well based on the conditions given. But managing as many contacts as
large groups of children eat away at the children's and staff's energies. It's too many days with
redirection in the absence of staff.
The days with pressure together form a series of mosquito bites which consequently lead to
illness. Unfortunately that's where I'm at and my body has given way, I can still walk
to work and deliver because I work part-time. There needs to be an investment in providing staff
prerequisites for also obtaining a good, long-term working environment! The strained
the situation at the preschool is not an individual matter, it is a structural and political one
question!"
Preschool teacher	"I have worked for two years as a preschool teacher and it feels like I have already had time to participate
most of it. When I started at my current preschool, I was immediately told that
the economy was bad.
In the two years that I have worked at this preschool, I have changed colleagues three times. Many
resigns and moves on in the hope that it will be better elsewhere.
But I have remained, but after a year of toil and constant loss of staff and too big
children's group, I could barely take it anymore either.
After a year, things started to lighten up and the team started to work together and we got along very well
Good! We were able to breathe a little and carry out what we planned and I felt proud of ours
section.
But then the economy was at rock bottom. We got buying stops and were and still are forced to reverse
inside and out on ourselves before we can put in substitutes. Of course we can say no but because
make it easier for the entire preschool, we stand up for each other and fight on. Because we all want to
the preschool must go around and survive.
But who thanks us?
We work overtime, take in children who would actually be free or the children who could be
at home with sick little sister/little brother who is actually at home with one parent that day.
We smile and welcome with open arms. We hug, comfort and encourage, but under the surface
we fight tooth and nail to keep the business afloat, quietly. Because we can
not stand in the hall and say it like it is in front of our parents? Right? I love my job, I love my children and my colleagues. I'm proud that we can handle it
fight together.
I am happy to do everything and a little more to ensure that the children have a good time at preschool. I plan on
Sundays if I feel like it. Because I think it's fun and to have time to plan
and implement the things that I am passionate about.
But.. Preschool is for learning and care. But in order for us to achieve such good learning and
care as possible, smaller groups of children are required to lower the stress level and the noise level
both for us educators but mostly for our children.
As it is today, every day I feel guilty because I don't have time. I will make it
don't talk to all the kids every day. I don't have time to help them print that nice fill in
the drawing they wanted so badly. I often have to interrupt them when they want to tell me things or ask questions
if anything - because I have to be in several places at the same time. Because we are never enough.
Please all the politicians out there, I love my job and my kids but we all get down on our knees and
soon can't take it anymore."
Preschool teacher-student	"Short and concise story from the preschool of reality. According to the politicians in the city of Gothenburg, there are
there is room/place for 6 more children at our preschool this term. We will then have 23 children
the department for the oldest, 19 in the middle and 18 in the younger with a staffing density of 3
educators in each department. Tomorrow the semester starts and we don't even have
chairs for all children."
